0,1,2,3,4,5
Yearly Report for Client: TICF/CFGSTMTS [prod] 2022-06-10T02:00:19 PDT                                         Period: 2017-2021 
Y,2017,677,951475,2717026,11755640557
Y,2018,255,416033,1103185,13926152045
Y,2019,265,448166,1181676,14623640832
Y,2020,263,490196,1286251,15212493438
Y,2021,137,272557,713549,8022979822
Monthly Report for Client: TICF/CFGSTMTS [prod] 2022-06-10T02:00:19 PDT                                        Period: 2017-2021 
M,2017-10,630,881317,2530105,9196154547
M,2017-11,22,34035,90256,1286456380
M,2017-12,25,36123,96665,1273029630
M,2018-01,22,35588,94333,1311141745
M,2018-02,19,33523,88501,1129807798
M,2018-03,24,36614,97015,1306099464
M,2018-04,20,32122,85270,1075256985
M,2018-05,23,35120,93236,1194776881
M,2018-06,22,33915,90397,1165644679
M,2018-07,21,33775,89666,1119715342
M,2018-08,23,35238,94010,1206713150
M,2018-09,19,34004,90352,1067646099
M,2018-10,22,35787,95030,1187367060
M,2018-11,21,36510,95920,1103941026
M,2018-12,19,33837,89455,1058041816
M,2019-01,26,38131,100996,1267488090
M,2019-02,20,35920,95231,1154582804
M,2019-03,22,36394,95815,1210285399
M,2019-04,22,35990,96305,1180062740
M,2019-05,23,37298,97752,1254513260
M,2019-06,21,35639,93826,1158968581
M,2019-07,22,37725,99463,1234884564
M,2019-08,23,38266,100309,1266233939
Yearly Report for Client: AFS/INVM [prod] 2022-06-10T03:53:10 PDT                                              Period: 2019-2022 
Y,2019,963,10536,79286,613166192
Y,2020,1375,13517,146246,1112707557
Y,2021,1276,10740,110926,845845446
Y,2022,584,5619,65290,494859007
Monthly Report for Client: AFS/INVM [prod] 2022-06-10T03:53:10 PDT                                             Period: 2019-2022 
M,2019-03,35,1720,13776,107549973
M,2019-04,123,1072,6348,49142506
M,2019-05,97,502,2254,17106485
M,2019-06,101,1910,17092,133085851
M,2019-07,105,1093,5942,46020128
M,2019-08,117,629,5022,37888531
M,2019-09,83,257,1686,12929760
M,2019-10,132,2577,23052,178362399
M,2019-11,93,525,2766,20631954
M,2019-12,77,251,1348,10448605
M,2020-01,161,2753,39068,300055567
M,2020-02,125,894,15404,112716918
M,2020-03,119,417,11018,83345972
M,2020-04,125,2303,19088,147307556
M,2020-05,110,554,5544,40977372
M,2020-06,99,276,3440,25486140
M,2020-07,138,2479,19994,153552620
M,2020-08,103,449,3122,23507670
M,2020-09,95,316,1922,14365984
M,2020-10,136,2478,23944,183544938
M,2020-11,82,285,1464,11504694
M,2020-12,82,313,2238,16342126
M,2021-01,136,1986,35244,268215939
M,2021-02,108,633,3360,26002232
M,2021-03,110,516,4274,33242491
M,2021-04,141,1984,15196,116110282
M,2021-05,104,544,2534,18855451
M,2021-06,79,200,3034,22784347
M,2021-07,132,1795,18970,144227756
M,2021-08,95,348,2440,18771853
M,2021-09,99,313,4214,31865256
M,2021-10,110,1905,17794,136621950
M,2021-11,84,283,2024,15557601
M,2021-12,78,233,1842,13590288
M,2022-01,131,1911,37242,282206466
M,2022-02,109,524,6994,53099272
M,2022-03,102,431,2992,22432897
M,2022-04,118,2322,15482,117816409
M,2022-05,87,256,1198,9324665
M,2022-06,37,175,1382,9979298
Yearly Report for Client: AFS/TRAB [prod] 2022-06-10T03:53:18 PDT                                              Period: 2020-2022 
Y,2020,69,559628,1119256,3189840068
Y,2021,71,509648,1019296,2650443406
Y,2022,4,11192,22384,64136626
Monthly Report for Client: AFS/TRAB [prod] 2022-06-10T03:53:18 PDT                                             Period: 2020-2022 
M,2020-04,2,1656,3312,6843174
M,2020-05,28,261727,523454,1493640500
M,2020-06,16,153686,307372,878928115
M,2020-07,14,119937,239874,680782244
M,2020-08,2,7467,14934,42783771
M,2020-09,1,3702,7404,21222161
M,2020-10,2,4174,8348,23922824
M,2020-11,2,4762,9524,27291849
M,2020-12,2,2517,5034,14425430
M,2021-01,1,3093,6186,17723959
M,2021-02,2,9641,19282,55242586
M,2021-03,2,4795,9590,27470784
M,2021-04,2,4994,9988,28609558
M,2021-05,50,457280,914560,2350396904
M,2021-06,2,3967,7934,22719882
M,2021-07,2,2917,5834,16704551
M,2021-08,2,6598,13196,37799145
M,2021-09,2,4066,8132,23308000
M,2021-10,2,4805,9610,27534612
M,2021-11,2,4770,9540,27335319
M,2021-12,2,2722,5444,15598106
M,2022-01,2,2793,5586,16009337
Yearly Report for Client: AFS/TRAC [prod] 2022-06-10T03:53:30 PDT                                              Period: 2019-2022 
Y,2019,698,2187,9663,71516473
Y,2020,896,2620,11082,81846844
Y,2021,991,2404,9313,68206331
Y,2022,499,1407,5740,39254214
Monthly Report for Client: AFS/TRAC [prod] 2022-06-10T03:53:30 PDT                                             Period: 2019-2022 
M,2019-03,13,22,77,543812
M,2019-04,82,481,2539,18981283
M,2019-05,69,83,193,1376427
M,2019-06,76,107,270,1894724
M,2019-07,80,423,2266,16804969
M,2019-08,71,87,207,1524136
M,2019-09,69,96,232,1663867
M,2019-10,97,642,3327,24858725
M,2019-11,66,134,243,1703271
M,2019-12,75,112,309,2165259
M,2020-01,86,700,3872,28868641
M,2020-02,63,83,197,1400172
M,2020-03,75,108,266,1836917
M,2020-04,81,538,2716,20248726
M,2020-05,63,83,215,1476123
M,2020-06,72,105,232,1675766
M,2020-07,82,243,1036,7719574
M,2020-08,71,91,273,1984027
M,2020-09,72,102,231,1621844
M,2020-10,86,337,1506,11280151
M,2020-11,63,115,258,1744021
M,2020-12,82,115,280,1990882
M,2021-01,80,481,2602,19530322
M,2021-02,78,266,1174,8777288
M,2021-03,78,107,277,1923901
M,2021-04,82,284,1149,8680574
M,2021-05,66,93,220,1572761
M,2021-06,77,108,289,2057733
M,2021-07,86,263,1135,8490071
M,2021-08,69,109,284,2080184
M,2021-09,77,108,250,1817210
M,2021-10,86,282,1104,8503100
M,2021-11,94,123,348,2043976
M,2021-12,118,180,481,2729211
M,2022-01,113,323,1350,9391915
M,2022-02,96,126,363,2067266
M,2022-03,114,176,471,2601257
M,2022-04,84,569,2966,21953708
M,2022-05,68,163,443,2445048
M,2022-06,24,50,147,795020
Yearly Report for Client: AFS/TRACCHK [prod] 2022-06-10T03:53:48 PDT                                           Period: 2021-2022 
Y,2021,96,22427,85422,520960562
Y,2022,66,29779,99646,573107209
Monthly Report for Client: AFS/TRACCHK [prod] 2022-06-10T03:53:48 PDT                                          Period: 2021-2022 
M,2021-07,7,3752,14586,91342903
M,2021-08,5,2922,11386,70276200
M,2021-09,25,6392,24124,146020738
M,2021-10,12,5841,22782,138683726
M,2021-11,1,1,2,11096
M,2021-12,46,3519,12542,74625899
M,2022-01,6,3258,12762,82179708
M,2022-02,9,3177,12432,78638618
M,2022-03,20,2990,10892,63757556
M,2022-04,23,17540,52584,280000052
M,2022-05,1,1,2,11084
M,2022-06,7,2813,10974,68520191
Yearly Report for Client: IVA/INVM [prod] 2022-06-10T03:54:48 PDT                                              Period: 2019-2021 
Y,2019,43,39970,164344,27898557
Y,2020,32,6404,26852,108798755
Y,2021,18,2831,12004,49482286
Monthly Report for Client: IVA/INVM [prod] 2022-06-10T03:54:48 PDT                                             Period: 2019-2021 
M,2019-03,5,91,402,1612058
M,2019-04,1,34,82,314602
M,2019-06,5,90,402,1599649
M,2019-07,1,26,66,251414
M,2019-08,4,4306,17742,20621
M,2019-09,21,33979,139660,21
M,2019-10,5,1443,5986,24079304
M,2019-12,1,1,4,20888
M,2020-01,6,2623,11092,45690387
M,2020-02,2,2,8,40423
M,2020-03,2,2,8,40593
M,2020-04,7,1352,5612,22418051
M,2020-05,1,1,6,27368
M,2020-07,6,1252,5226,20837841
M,2020-08,1,1,4,22666
M,2020-09,1,1,8,38153
M,2020-10,5,1169,4884,19659326
M,2020-12,1,1,4,23947
M,2021-01,5,1046,4512,18595051
M,2021-02,1,1,4,19489
M,2021-03,4,4,16,84048
M,2021-04,8,1780,7472,30783698
Yearly Report for Client: IVA/YPCT [prod] 2022-06-10T03:54:51 PDT                                              Period: 2019-2022 
Y,2019,8,61,236,649434
Y,2020,20,1028,3430,13256367
Y,2021,21,1217,4153,15725368
Y,2022,6,883,2771,14633023
Monthly Report for Client: IVA/YPCT [prod] 2022-06-10T03:54:51 PDT                                             Period: 2019-2022 
M,2019-03,3,4,18,76766
M,2019-04,1,4,8,55430
M,2019-05,2,51,204,502526
M,2019-06,2,2,6,14712
M,2020-01,2,114,494,1700950
M,2020-02,1,1,6,17819
M,2020-03,2,2,6,25461
M,2020-04,2,2,8,35574
M,2020-05,2,3,22,80223
M,2020-06,4,623,1966,8517165
M,2020-07,1,1,6,17930
M,2020-08,4,280,912,2828505
M,2020-09,2,2,10,32740
M,2021-01,6,817,2643,11697003
M,2021-02,3,4,22,75221
M,2021-03,3,3,10,55084
M,2021-05,6,161,652,1603375
M,2021-06,3,232,826,2294685
M,2022-01,4,791,2449,13723560
M,2022-05,2,92,322,909463
Yearly Report for Client: CITIZENS/PASTDUE [prod] 2022-06-10T03:57:21 PDT                                      Period: 2019-2022 
Y,2019,2607,36770052,63365082,30557031538
Y,2020,392,3502459,4439326,34896229989
Y,2021,336,2903989,3817064,29618409422
Y,2022,149,1331654,1760400,13932650037
Monthly Report for Client: CITIZENS/PASTDUE [prod] 2022-06-10T03:57:21 PDT                                     Period: 2019-2022 
M,2019-05,2409,34001446,59762643,3011956341
M,2019-06,27,398314,521362,3984082297
M,2019-07,29,398697,516957,3906665530
M,2019-08,29,413741,540501,4164258871
M,2019-09,27,376976,490907,3773209446
M,2019-10,29,408604,528357,4014683892
M,2019-11,28,387761,500185,3842425743
M,2019-12,29,384513,504170,3859749418
M,2020-01,49,411530,526752,4027310164
M,2020-02,54,359602,464793,3561198284
M,2020-03,35,335339,426224,3310540984
M,2020-04,28,309645,389373,3086676617
M,2020-05,28,257784,325426,2567328507
M,2020-06,28,256075,322954,2574591023
M,2020-07,29,259651,319931,2613883321
M,2020-08,28,249140,310124,2516730462
M,2020-09,28,266479,335781,2668918109
M,2020-10,29,267003,335234,2673578843
M,2020-11,27,256609,326832,2590492426
M,2020-12,29,273602,355902,2704981249
M,2021-01,27,213937,286231,2095900308
M,2021-02,26,186258,253174,1861403270
M,2021-03,29,196016,265112,1962079194
M,2021-04,28,185059,255488,1892577482
M,2021-05,28,238648,303669,2461167273
M,2021-06,28,263605,336718,2710484590
M,2021-07,29,283050,368700,2879257345
M,2021-08,28,273659,359223,2830366065
M,2021-09,28,270529,351502,2785286864
M,2021-10,28,263566,345437,2711447973
M,2021-11,28,257397,334917,2646496176
M,2021-12,29,272265,356893,2781942882
M,2022-01,28,256822,337130,2649367641
M,2022-02,26,229523,302142,2390235729
M,2022-03,29,241823,317902,2530346345
M,2022-04,28,252126,335042,2657665684
M,2022-05,28,248484,331001,2610045253
M,2022-06,10,102876,137183,1094989385
